time,pm2d5,lat,lon,lon_bin,lat_bin
2018-11-23 01:00:00,37.24815,23.048606,113.156814,12.0,11.0
2018-11-23 01:00:00,21.4499,23.051251999999998,113.125344,6.0,12.0
2018-11-23 01:00:00,35.115100000000005,23.060325,113.15760700000001,12.0,15.0
2018-11-23 01:00:00,34.6351,23.035865000000005,113.157705,12.0,6.0
2018-11-23 01:00:00,35.285,23.057191,113.14210499999999,9.0,14.0
2018-11-23 01:00:00,9.950099999999999,23.029907,113.149094,10.0,4.0
2018-11-23 01:10:00,36.627449999999996,23.048606,113.156814,12.0,11.0
2018-11-23 01:10:00,25.58421717171717,23.054479646464646,113.1417465050505,9.0,13.0
2018-11-23 01:10:00,34.5117,23.035865000000005,113.157705,12.0,6.0
2018-11-23 01:10:00,35.880050000000004,23.057191,113.14210499999999,9.0,14.0
2018-11-23 01:10:00,32.82665,23.044381,113.142363,9.0,9.0
2018-11-23 01:10:00,35.467,23.060325,113.15760700000001,12.0,15.0
2018-11-23 01:10:00,9.77825,23.029907,113.149094,10.0,4.0
2018-11-23 01:10:00,38.90062865497076,23.02469600877193,113.13043745614036,7.0,2.0
2018-11-23 01:10:00,29.644949999999998,23.035945,113.142722,9.0,6.0
2018-11-23 01:10:00,22.54685,23.051251999999998,113.125344,6.0,12.0
2018-11-23 01:20:00,25.78862155388471,23.0544799122807,113.14174574937344,9.0,13.0
2018-11-23 01:20:00,9.1696,23.029907,113.149094,10.0,4.0
2018-11-23 01:20:00,35.90464285714286,23.025116071428574,113.12912142857144,6.0,2.0
2018-11-23 01:20:00,39.27073131955485,23.024718632750396,113.13070890302066,7.0,2.0
2018-11-23 01:20:00,20.90015,23.051251999999998,113.125344,6.0,12.0
2018-11-23 01:20:00,35.7717,23.060325,113.15760700000001,12.0,15.0
2018-11-23 01:20:00,34.75005,23.035865000000005,113.157705,12.0,6.0
2018-11-23 01:20:00,37.80331658291457,23.048606,113.15681400000001,12.0,11.0
2018-11-23 01:20:00,33.3687,23.044381,113.142363,9.0,9.0
2018-11-23 01:20:00,36.13015,23.057191,113.14210499999999,9.0,14.0
2018-11-23 01:20:00,29.988400000000002,23.035945,113.142722,9.0,6.0
2018-11-23 01:30:00,35.118449999999996,23.035865000000005,113.157705,12.0,6.0
2018-11-23 01:30:00,19.49325,23.051251999999998,113.125344,6.0,12.0
2018-11-23 01:30:00,36.0116,23.060325,113.15760700000001,12.0,15.0
2018-11-23 01:30:00,36.2585,23.057191,113.14210499999999,9.0,14.0
2018-11-23 01:30:00,37.9194,23.048606,113.156814,12.0,11.0
2018-11-23 01:30:00,40.28758620689655,23.025740000000003,113.13053827586207,7.0,3.0
2018-11-23 01:30:00,9.486699999999999,23.029907,113.149094,10.0,4.0
2018-11-23 01:30:00,33.3167,23.044381,113.142363,9.0,9.0
2018-11-23 01:30:00,39.28877616747182,23.02482275362319,113.13051447665057,7.0,2.0
2018-11-23 01:30:00,30.45485,23.035945,113.142722,9.0,6.0
2018-11-23 01:30:00,25.63201005025126,23.0544798241206,113.141746,9.0,13.0
2018-11-23 01:40:00,19.912311557788946,23.051252,113.125344,6.0,12.0
2018-11-23 01:40:00,39.019375,23.024521874999998,113.12921750000001,6.0,2.0
